id;Fecha;Mes;Codigo;Lugar;Categoria;Marca;Nombre;Und;Cant;Precio;Total
1;2020/01/02;1-2020;203139;COTO;Galleta;Oreo;Alfajor;PAQ (55 Grm);1,00;43,99;43,99
2;2020/01/02;1-2020;484562;COTO;Bebida;Martonasch;Leche Desc. Ultra;BOLSA (1 L);1,00;39,74;39,74
3;2020/01/02;1-2020;260507;COTO;Dulce;Exquisita;Polvo Gelatina Cereza;PAQ (40 Grm);1,00;34,90;34,90
4;2020/01/02;1-2020;104019;COTO;Bebida;La Virginia;Café Soluble Cappuccino;PAQ (125 Grm);1,00;102,39;102,39
5;2020/01/02;1-2020;671;COTO;Vegetales;N/A;Pimenton Rojo;KG;0,25;179,90;45,33
6;2020/01/02;1-2020;;DIA;Harina;DIA;Trigo Leudante;PAQ (1 kg);2,00;40,00;80,00
7;2020/01/02;1-2020;;DIA;Galleta;DIA;Rellena Chocolate;PAQ;1,00;27,49;27,49
8;2020/01/02;1-2020;;DIA;Bebida;DIA;En Polvo Manzana;SOBRE (24 Grm);2,00;9,39;18,78
9;2020/01/02;1-2020;;DIA;Harina;DIA;Levadura Seca Instantania;SOBRE (24 Grm);2,00;32,99;65,98
10;2020/01/02;1-2020;;DIA;Azucar;DIA;Azucar Plus;PAQ (1 Kg);1,00;37,00;37,00
11;2020/01/02;1-2020;;DIA;Salsa;DIA;Pure Tomate;PAQ (520 Grm);1,00;27,00;27,00
12;2020/01/02;1-2020;;DIA;Salsa;N/A;Pizza Duypack;PAQ (340 Grm);1,00;29,50;29,50
13;2020/01/02;1-2020;;FIAMBRRERIA (Av JUJUY);Queso;N/A;Mozzarela Oferta;KG;0,44;300,00;130,50
14;2020/01/02;1-2020;;FIAMBRRERIA (Av JUJUY);Jamon;N/A;Natural Oferta;KG;0,52;265,00;137,80
15;2020/01/02;1-2020;;FIAMBRRERIA (Av JUJUY);Salame;N/A;Salame Milan;KG;0,25;410,00;102,50
16;2020/01/02;1-2020;;FIAMBRRERIA (Av JUJUY);Maple;N/A;Maple de 30 Huevos;PAQ (30 Und);1,00;130,00;130,00
17;2020/01/03;1-2020;271988;COTO;Jabon;CIF;Lavavajillas Limon Verde;BOT (450 ML);1,00;72,99;72,99
18;2020/01/03;1-2020;10057;COTO;Bebida;Pepsi;Cola;BOT  (1,5L);1,00;90,00;90,00
19;2020/01/03;1-2020;182704;COTO;Galleta;Oreo;Mini Chocolate;PAQ (50 Grm);2,00;35,99;71,98
20;2020/01/03;1-2020;124153;COTO;Galleta;Oreo;Bañadas de Chocolate;PAQ (110 Grm);1,00;169,99;169,99
21;2020/01/04;1-2020;;FIAMBRRERIA (Av JUJUY);Pollo;N/A;Suprema Pechuga;KG;1,20;185,00;222,00
22;2020/01/04;1-2020;;FIAMBRRERIA (Av JUJUY);Cerdo;N/A;Bife de Cerdo;KG;1,19;250,00;296,25
23;2020/01/04;1-2020;;DIA;Papel;DIA;Papel Higuienico;PAQ (4 Rollos);1,00;76,99;76,99
24;2020/01/04;1-2020;;DIA;Arroz;DIA;Arroz;PAQ (1 Kg);1,00;58,85;58,85
25;2020/01/04;1-2020;;DIA;Bebida;DIA;Café Capuccino;PAQ;1,00;80,00;80,00
26;2020/01/04;1-2020;;DIA;bebida;DIA;Leche;PAQ (1 L);1,00;40,00;40,00
27;2020/01/04;1-2020;;DIA;Dulce;DIA;Flan;PAQ;1,00;22,00;22,00
28;2020/01/06;1-2020;;DIA;Vinagre;Menoyo;Vinagre;L;1,00;65,89;65,89
29;2020/01/06;1-2020;;DIA;Crema;Colgate;Grema Dental;PAQ;1,00;113,79;113,79
30;2020/01/07;1-2020;259430;COTO;Galleta;Oreo;Rellenas Trick Pack;PAQ;1,00;149,00;149,00
31;2020/01/07;1-2020;485433;COTO;Dulce;BlancaFlor;Bizcochuelo Torta;PAQ;1,00;99,00;99,00
32;2020/01/07;1-2020;268383;COTO;Toalla;Calipso;Proctectores Diarios;PAQ;1,00;174,00;174,00
33;2020/01/07;1-2020;672;COTO;Vegetales;N/A;Pimenton Verde;KG;0,24;128,90;30,94
34;2020/01/09;1-2020;10057;COTO;Bebida;Pepsi;Cola;BOT  (1,5L);1,00;90,00;90,00
35;2020/01/09;1-2020;78515;COTO;Crema;Colgate;Grema Dental;PAQ;1,00;93,00;93,00
36;2020/01/09;1-2020;487188;COTO;Cepillo;Essencial;Cepillo de Dientes;UND;1,00;64,81;64,81
37;2020/01/09;1-2020;121625;COTO;Cepillo;Colgate;Cepillo de Dientes;UND;1,00;87,00;87,00
38;2020/01/09;1-2020;470233;COTO;bebida;Ancor;Jugo en Polvo Mandarina;SOB (20 Gr);2,00;12,59;25,18
39;2020/01/09;1-2020;269679;COTO;bebida;Ancor;Jugo en Polvo Anana;SOB (20 Gr);2,00;12,59;25,18
40;2020/01/09;1-2020;124153;COTO;Galleta;Oreo;Bañadas de Chocolate;PAQ (110 Grm);1,00;169,99;169,99
41;2020/01/09;1-2020;216705;COTO;Dulce;Menthoplus;Caramelos Berries;PAQ;2,00;57,98;115,96
42;2020/01/09;1-2020;216702;COTO;Dulce;Menthoplus;Caramelos Plusstrong;PAQ;1,00;29,00;29,00
43;2020/01/09;1-2020;486996;COTO;Trapo;Micro;Repasador Trapo;UND;4,00;119,00;476,00
44;2020/01/09;1-2020;483877;COTO;Galleta;Magdalenas;Magdalenas;PAQ (250 Gr);1,00;74,00;74,00
45;2020/01/09;1-2020;125960;COTO;bebida;Coto;Café;PAQ (250 Gr);1,00;94,00;94,00
